Codici statistici e denominazioni delle unità amministrative rispondenti ai nuovi assetti territoriali della Sardegna. In vigore dal 1° gennaio 2026;;;;;;
"Denominazione Provincia/
Città metropolitana";"Codice Provincia/
Città metropolitana";Codice Comune;Denominazione Comune;Codice Comune precedente;"Codice Provincia/
Città metropolitana precedente";"Denominazione Provincia/
Città metropolitana
(ripartizione precedente)"
Provincia di Oristano;115;115055;San Vero Milis;095050;095;Provincia di Oristano
Provincia di Oristano;115;115056;Santa Giusta;095047;095;Provincia di Oristano
Provincia di Oristano;115;115057;Santu Lussurgiu;095049;095;Provincia di Oristano
Provincia di Oristano;115;115058;Scano di Montiferro;095051;095;Provincia di Oristano
Provincia di Oristano;115;115059;Sedilo;095052;095;Provincia di Oristano
Provincia di Oristano;115;115060;Seneghe;095053;095;Provincia di Oristano
Provincia di Oristano;115;115061;Senis;095054;095;Provincia di Oristano
Provincia di Oristano;115;115062;Sennariolo;095055;095;Provincia di Oristano
Provincia di Oristano;115;115063;Siamaggiore;095056;095;Provincia di Oristano
Provincia di Oristano;115;115064;Siamanna;095057;095;Provincia di Oristano
Provincia di Oristano;115;115065;Siapiccia;095076;095;Provincia di Oristano
Provincia di Oristano;115;115066;Simala;095058;095;Provincia di Oristano
Provincia di Oristano;115;115067;Simaxis;095059;095;Provincia di Oristano
Provincia di Oristano;115;115068;Sini;095060;095;Provincia di Oristano
Provincia di Oristano;115;115069;Siris;095061;095;Provincia di Oristano
Provincia di Oristano;115;115070;Soddì;095078;095;Provincia di Oristano
Provincia di Oristano;115;115071;Solarussa;095062;095;Provincia di Oristano
Provincia di Oristano;115;115072;Sorradile;095063;095;Provincia di Oristano
Provincia di Oristano;115;115073;Suni;095087;095;Provincia di Oristano
Provincia di Oristano;115;115074;Tadasuni;095064;095;Provincia di Oristano
Provincia di Oristano;115;115075;Terralba;095065;095;Provincia di Oristano
Provincia di Oristano;115;115076;Tinnura;095088;095;Provincia di Oristano
Provincia di Oristano;115;115077;Tramatza;095066;095;Provincia di Oristano
Provincia di Oristano;115;115078;Tresnuraghes;095067;095;Provincia di Oristano
Provincia di Oristano;115;115079;Ulà Tirso;095068;095;Provincia di Oristano
Provincia di Oristano;115;115080;Uras;095069;095;Provincia di Oristano
Provincia di Oristano;115;115081;Usellus;095070;095;Provincia di Oristano
Provincia di Oristano;115;115082;Villa Sant'Antonio;095048;095;Provincia di Oristano
Provincia di Oristano;115;115083;Villa Verde;095073;095;Provincia di Oristano
Provincia di Oristano;115;115084;Villanova Truschedu;095071;095;Provincia di Oristano
Provincia di Oristano;115;115085;Villaurbana;095072;095;Provincia di Oristano
Provincia di Oristano;115;115086;Zeddiani;095074;095;Provincia di Oristano
Provincia di Oristano;115;115087;Zerfaliu;095075;095;Provincia di Oristano
Provincia dell'Ogliastra;116;116001;Arzana;091002;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116002;Bari Sardo;091005;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116003;Baunei;091006;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116004;Cardedu;091103;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116005;Elini;091019;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116006;Gairo;091026;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116007;Girasole;091031;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116008;Ilbono;091032;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116009;Jerzu;091035;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116010;Lanusei;091037;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116011;Loceri;091039;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116012;Lotzorai;091042;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116013;Osini;091069;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116014;Perdasdefogu;091072;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116015;Talana;091088;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116016;Tertenia;091089;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116017;Tortolì;091095;091;Provincia di Nuoro
